ID,Project Title,Owner,Owner Type,Status,Country,Assign To
4522,Data Center GID,Built TECH,Contractor,Lose,Saudi Arabia,Mohamed Ali
4523,Data Center GID,Built TECH,Contractor,Lose,Saudi Arabia,Mohamed Ali
4524,Data Center GID,Built TECH,Contractor,Lose,Saudi Arabia,Mohamed Ali
4525,DOCKS AND NAVAL BASES FOR BORDER GUARDS,Alghanim International,Contractor,Sent,Saudi Arabia,Unassigned
4526,DOCKS AND NAVAL BASES FOR BORDER GUARDS,Alghanim International,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4527,DOCKS AND NAVAL BASES FOR BORDER GUARDS,Alghanim International,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4528,DOCKS AND NAVAL BASES FOR BORDER GUARDS,Alghanim International,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4529,IC Hotel Dana Bay,Jenan,Contractor,Lose,Saudi Arabia,Ahmed Mosbah
4530,IC Hotel Dana Bay,Jenan,Contractor,Done To Review,Saudi Arabia,Ghaidaa Saad
4531,IC Hotel Dana Bay,Jenan,Contractor,Lose,Saudi Arabia,Mahmoud Hassan
4532,IC Hotel Dana Bay,Jenan,Contractor,Lose,Egypt,Sherouk Ramdan
4533,IC Residence Dana Bay,Jenan,Contractor,Sent,Egypt,Mohamed Ali
4534,IC Residence Dana Bay,Jenan,Contractor,Sent,Egypt,Mohamed Ali
4535,IC Residence Dana Bay,Jenan,Contractor,Sent,Egypt,Mohamed Ali
4536,King Fahad University,Multi Works Co,Contractor,Lose,Saudi Arabia,Ahmed Mosbah
4537,King Fahad University,Multi Works Co,Contractor,Lose,Saudi Arabia,Ali Ketkat
4538,King Fahad University,Multi Works Co,Contractor,Lose,Saudi Arabia,Ali Ketkat
4539,King Salman Humanitarian Aid and Relief Centre store,?First Basics Contracting,Contractor,Lose,Saudi Arabia,Fathy Keshk
4540,King Salman Humanitarian Aid and Relief Centre store,?First Basics Contracting,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
4541,King Salman Humanitarian Aid and Relief Centre store,?First Basics Contracting,Contractor,Lose,Saudi Arabia,Mahmoud Hassan
4542,King Salman Humanitarian Aid and Relief Centre store,?First Basics Contracting,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4543,Master Planning & Infrastructure for Technology  Zones,LABENAT ALBENA CO. ???? ???? ?????? ?????????,Contractor,Lose,Saudi Arabia,Fatma Hesham
4544,Narjis Business Park project,TAMEAR,Contractor,Lose,Saudi Arabia,Fatma Hesham
4545,Narjis Business Park project,TAMEAR,Contractor,Lose,Saudi Arabia,Fatma Hesham
4546,Narjis Business Park project,TAMEAR,Contractor,Lose,Saudi Arabia,Fatma Hesham
4547,Narjis Business Park project,TAMEAR,Contractor,cold case,Saudi Arabia,Unassigned
4548,Rua Al Madinah Project,BEC,Contractor,cold case,Saudi Arabia,Unassigned
4549,Rua Al Madinah Project,BEC,Contractor,cold case,Saudi Arabia,Unassigned
4550,Rua Al Madinah Project,BEC,Contractor,cold case,Saudi Arabia,Unassigned
4551,Rua Al Madinah Project,MOBCO,Contractor,cold case,Saudi Arabia,Unassigned
4552,Rua Al Madinah Project,MOBCO,Contractor,cold case,Saudi Arabia,Unassigned
